Total_SUBs,Total_SUBs_missing,Total_SUBs_imputed_median,Total_SUBs_log1p,Total_SUBs_zscore,Total_SUBs_iqr_outlier,CHURN,churn_binary
2,0,2,1.0986122886681098,-0.7768982942411042,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
5,0,5,1.791759469228055,-0.4841023032820756,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
13,0,13,2.6390573296152584,0.2966870059420008,0,No,0
4,0,4,1.6094379124341003,-0.5817009669350851,0,Yes,1
7,0,7,2.0794415416798357,-0.28890497597605647,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
1,0,1,0.6931471805599453,-0.8744969578941137,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
5,0,5,1.791759469228055,-0.4841023032820756,0,No,0
2,0,2,1.0986122886681098,-0.7768982942411042,0,No,0
4,0,4,1.6094379124341003,-0.5817009669350851,0,No,0
6,0,6,1.9459101490553132,-0.38650363962906603,0,No,0
4,0,4,1.6094379124341003,-0.5817009669350851,0,No,0
11,0,11,2.4849066497880004,0.10148967863598171,0,No,0
32,0,32,3.4965075614664802,2.1510616153491826,1,No,0
2,0,2,1.0986122886681098,-0.7768982942411042,0,No,0
4,0,4,1.6094379124341003,-0.5817009669350851,0,No,0
4,0,4,1.6094379124341003,-0.5817009669350851,0,Yes,1
4,0,4,1.6094379124341003,-0.5817009669350851,0,No,0
6,0,6,1.9459101490553132,-0.38650363962906603,0,No,0
5,0,5,1.791759469228055,-0.4841023032820756,0,No,0
4,0,4,1.6094379124341003,-0.5817009669350851,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
6,0,6,1.9459101490553132,-0.38650363962906603,0,No,0
10,0,10,2.3978952727983707,0.003891014982972168,0,No,0
5,0,5,1.791759469228055,-0.4841023032820756,0,No,0
5,0,5,1.791759469228055,-0.4841023032820756,0,No,0
5,0,5,1.791759469228055,-0.4841023032820756,0,No,0
6,0,6,1.9459101490553132,-0.38650363962906603,0,No,0
6,0,6,1.9459101490553132,-0.38650363962906603,0,No,0
4,0,4,1.6094379124341003,-0.5817009669350851,0,No,0
5,0,5,1.791759469228055,-0.4841023032820756,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
2,0,2,1.0986122886681098,-0.7768982942411042,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
4,0,4,1.6094379124341003,-0.5817009669350851,0,No,0
4,0,4,1.6094379124341003,-0.5817009669350851,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
2,0,2,1.0986122886681098,-0.7768982942411042,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
7,0,7,2.0794415416798357,-0.28890497597605647,0,No,0
4,0,4,1.6094379124341003,-0.5817009669350851,0,No,0
10,0,10,2.3978952727983707,0.003891014982972168,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
4,0,4,1.6094379124341003,-0.5817009669350851,0,No,0
7,0,7,2.0794415416798357,-0.28890497597605647,0,Yes,1
6,0,6,1.9459101490553132,-0.38650363962906603,0,No,0
5,0,5,1.791759469228055,-0.4841023032820756,0,No,0
6,0,6,1.9459101490553132,-0.38650363962906603,0,No,0
6,0,6,1.9459101490553132,-0.38650363962906603,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
4,0,4,1.6094379124341003,-0.5817009669350851,0,Yes,1
5,0,5,1.791759469228055,-0.4841023032820756,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
5,0,5,1.791759469228055,-0.4841023032820756,0,No,0
4,0,4,1.6094379124341003,-0.5817009669350851,0,No,0
5,0,5,1.791759469228055,-0.4841023032820756,0,No,0
5,0,5,1.791759469228055,-0.4841023032820756,0,No,0
6,0,6,1.9459101490553132,-0.38650363962906603,0,No,0
6,0,6,1.9459101490553132,-0.38650363962906603,0,No,0
2,0,2,1.0986122886681098,-0.7768982942411042,0,No,0
4,0,4,1.6094379124341003,-0.5817009669350851,0,No,0
8,0,8,2.1972245773362196,-0.19130631232304693,0,No,0
34,0,34,3.5553480614894135,2.3462589426552016,1,No,0
5,0,5,1.791759469228055,-0.4841023032820756,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
5,0,5,1.791759469228055,-0.4841023032820756,0,No,0
9,0,9,2.302585092994046,-0.09370764867003738,0,No,0
6,0,6,1.9459101490553132,-0.38650363962906603,0,No,0
5,0,5,1.791759469228055,-0.4841023032820756,0,No,0
7,0,7,2.0794415416798357,-0.28890497597605647,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,Yes,1
5,0,5,1.791759469228055,-0.4841023032820756,0,Yes,1
5,0,5,1.791759469228055,-0.4841023032820756,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
5,0,5,1.791759469228055,-0.4841023032820756,0,No,0
6,0,6,1.9459101490553132,-0.38650363962906603,0,No,0
2,0,2,1.0986122886681098,-0.7768982942411042,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
7,0,7,2.0794415416798357,-0.28890497597605647,0,No,0
4,0,4,1.6094379124341003,-0.5817009669350851,0,No,0
2,0,2,1.0986122886681098,-0.7768982942411042,0,No,0
6,0,6,1.9459101490553132,-0.38650363962906603,0,No,0
5,0,5,1.791759469228055,-0.4841023032820756,0,No,0
6,0,6,1.9459101490553132,-0.38650363962906603,0,No,0
4,0,4,1.6094379124341003,-0.5817009669350851,0,No,0
2,0,2,1.0986122886681098,-0.7768982942411042,0,No,0
11,0,11,2.4849066497880004,0.10148967863598171,0,No,0
4,0,4,1.6094379124341003,-0.5817009669350851,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
6,0,6,1.9459101490553132,-0.38650363962906603,0,No,0
5,0,5,1.791759469228055,-0.4841023032820756,0,Yes,1
6,0,6,1.9459101490553132,-0.38650363962906603,0,No,0
4,0,4,1.6094379124341003,-0.5817009669350851,0,Yes,1
7,0,7,2.0794415416798357,-0.28890497597605647,0,No,0
4,0,4,1.6094379124341003,-0.5817009669350851,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
6,0,6,1.9459101490553132,-0.38650363962906603,0,No,0
4,0,4,1.6094379124341003,-0.5817009669350851,0,No,0
7,0,7,2.0794415416798357,-0.28890497597605647,0,No,0
3,0,3,1.3862943611198906,-0.6792996305880947,0,No,0
