ARPU,ARPU_missing,ARPU_imputed_median,ARPU_log1p,ARPU_zscore,ARPU_iqr_outlier,CHURN,churn_binary
,1,19.314999999999998,3.01135952943969,-0.22465566675759147,0,No,0
13.39,0,13.39,2.6665335208992764,-0.48431962647751114,0,No,0
20.09,0,20.09,3.0487989944906833,-0.19069118257481704,0,No,0
40.17,0,40.17,3.7177098357818132,0.6893176463156454,0,No,0
20.09,0,20.09,3.0487989944906833,-0.19069118257481704,0,No,0
20.09,0,20.09,3.0487989944906833,-0.19069118257481704,0,No,0
10.08,0,10.08,2.405141681319138,-0.6293808427936183,0,Yes,1
8.07,0,8.07,2.2049722641270453,-0.7174693759644264,0,No,0
13.44,0,13.44,2.67000213346468,-0.4821283694334612,0,No,0
40.33,0,40.33,3.721588628523641,0.6963296688566051,0,No,0
13.5,0,13.5,2.6741486494265287,-0.47949886098060124,0,No,0
10.13,0,10.13,2.4096441652874536,-0.6271895857495683,0,No,0
20.25,0,20.25,3.056356895370426,-0.18367916003385718,0,No,0
10.17,0,10.17,2.413231613081109,-0.6254365801143283,0,No,0
8.17,0,8.17,2.2159372862683733,-0.7130868618763266,0,No,0
13.61,0,13.61,2.681706225762608,-0.4746780954836914,0,No,0
13.61,0,13.61,2.681706225762608,-0.4746780954836914,0,No,0
5.83,0,5.83,1.9213246735826988,-0.8156376915378644,0,No,0
20.42,0,20.42,3.064325065019603,-0.17622888608408727,0,No,0
40.83,0,40.83,3.733613785454107,0.7182422392971046,0,No,0
10.25,0,10.25,2.4203681286504293,-0.6219305688438483,0,Yes,1
10.25,0,10.25,2.4203681286504293,-0.6219305688438483,0,No,0
6.83,0,6.83,2.057962510002712,-0.7718125506568653,0,No,0
8.2,0,8.2,2.2192034840549946,-0.7117721076498966,0,No,0
10.25,0,10.25,2.4203681286504293,-0.6219305688438483,0,No,0
13.67,0,13.67,2.6858045921548905,-0.4720485870308314,0,No,0
13.67,0,13.67,2.6858045921548905,-0.4720485870308314,0,No,0
13.72,0,13.72,2.6892071133007303,-0.4698573299867814,0,No,0
13.72,0,13.72,2.6892071133007303,-0.4698573299867814,0,No,0
41.17,0,41.17,3.7417090677584683,0.7331427871966445,0,No,0
10.29,0,10.29,2.4239173781615704,-0.6201775632086084,0,No,0
10.29,0,10.29,2.4239173781615704,-0.6201775632086084,0,No,0
10.29,0,10.29,2.4239173781615704,-0.6201775632086084,0,No,0
10.29,0,10.29,2.4239173781615704,-0.6201775632086084,0,No,0
8.23,0,8.23,2.222459048514761,-0.7104573534234666,0,No,0
