AvgFIXRevenue,AvgFIXRevenue_missing,AvgFIXRevenue_imputed_median,AvgFIXRevenue_log1p,AvgFIXRevenue_zscore,AvgFIXRevenue_iqr_outlier,CHURN,churn_binary
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,Yes,1
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,Yes,1
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,Yes,1
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,Yes,1
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
0.0,0,0.0,0.0,-0.06996441894440315,0,No,0
