한글컬럼명,간단설명,값_또는_구간,전체건수,이탈Yes수,잔류No수,이탈률,잔류율,이탈률_퍼센트,잔류율_퍼센트,최솟값,최댓값
비활성 가입자 수,가입은 되어 있지만 활성 상태가 아닌 가입자 수다. 결측 자체도 의미가 있을 수 있다.,"(5.0, 214.0]",724,59,665,0.08149171270718232,0.9185082872928176,8.149171270718233,91.85082872928176,6.0,214.0
비활성 가입자 수,가입은 되어 있지만 활성 상태가 아닌 가입자 수다. 결측 자체도 의미가 있을 수 있다.,"(2.0, 3.0]",497,39,458,0.07847082494969819,0.9215291750503019,7.847082494969819,92.15291750503019,3.0,3.0
비활성 가입자 수,가입은 되어 있지만 활성 상태가 아닌 가입자 수다. 결측 자체도 의미가 있을 수 있다.,"(3.0, 5.0]",541,41,500,0.07578558225508318,0.9242144177449169,7.578558225508318,92.42144177449168,4.0,5.0
비활성 가입자 수,가입은 되어 있지만 활성 상태가 아닌 가입자 수다. 결측 자체도 의미가 있을 수 있다.,"(0.999, 2.0]",2542,161,2381,0.06333595594020457,0.9366640440597954,6.333595594020457,93.66640440597955,1.0,2.0
비활성 가입자 수,가입은 되어 있지만 활성 상태가 아닌 가입자 수다. 결측 자체도 의미가 있을 수 있다.,missing,4149,249,3900,0.060014461315979754,0.9399855386840202,6.001446131597976,93.99855386840203,,
