한글컬럼명,간단설명,값_또는_구간,전체건수,이탈Yes수,잔류No수,이탈률,잔류율,이탈률_퍼센트,잔류율_퍼센트,최솟값,최댓값
정지 가입자 수,정지 상태 가입자 수다. 결측률이 매우 높아 결측 여부를 별도 신호로 본다.,"(0.999, 22.0]",352,31,321,0.08806818181818182,0.9119318181818182,8.806818181818182,91.19318181818183,1.0,22.0
정지 가입자 수,정지 상태 가입자 수다. 결측률이 매우 높아 결측 여부를 별도 신호로 본다.,missing,8101,518,7583,0.0639427231206024,0.9360572768793977,6.39427231206024,93.60572768793976,,
