한글컬럼명,간단설명,값_또는_구간,전체건수,이탈Yes수,잔류No수,이탈률,잔류율,이탈률_퍼센트,잔류율_퍼센트,최솟값,최댓값
가입자당 평균 매출,가입자 1명당 평균 매출이다.,"(21.83, 29.95]",1687,120,1567,0.07113218731475993,0.9288678126852401,7.1132187314759925,92.886781268524,21.84,29.95
가입자당 평균 매출,가입자 1명당 평균 매출이다.,"(-0.001, 13.17]",1697,118,1579,0.0695344725987036,0.9304655274012964,6.9534472598703605,93.04655274012964,0.0,13.17
가입자당 평균 매출,가입자 1명당 평균 매출이다.,"(29.95, 462.83]",1689,113,1576,0.06690349319123742,0.9330965068087625,6.690349319123742,93.30965068087626,29.96,462.83
가입자당 평균 매출,가입자 1명당 평균 매출이다.,"(13.17, 17.0]",1699,103,1596,0.06062389640965274,0.9393761035903473,6.062389640965274,93.93761035903474,13.18,17.0
가입자당 평균 매출,가입자 1명당 평균 매출이다.,"(17.0, 21.83]",1680,95,1585,0.05654761904761905,0.9434523809523809,5.654761904761905,94.34523809523809,17.01,21.83
가입자당 평균 매출,가입자 1명당 평균 매출이다.,missing,1,0,1,0.0,1.0,0.0,100.0,,
