experiment,variant,zip_mode,ka_mode,transform_mode,include_extended_interactions,feature_count,model,train_kind,evaluation,threshold,test_rows,test_positives,f1,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,mcc,tp,fp,fn,tn,validation_threshold,validation_f1,validation_recall,validation_precision,validation_accuracy,validation_balanced_accuracy,validation_roc_auc,validation_pr_auc,validation_mcc,validation_tp,validation_fp,validation_fn,validation_tn,threshold_selection_strategy,min_recall_constraint
paper_ablation_benchmark,paper_core_zip_log_ka_abstract,encoded,abstract,log_revenue,False,21,BalancedBagging_original,original,validation_threshold,0.53,1688,109,0.15605095541401273,0.44954128440366975,0.09441233140655106,0.6860189573459715,0.5759422698142478,0.5812586063644973,0.0955428362127634,0.08089598150151142,49,470,60,1109,0.53,0.15678776290630975,0.3761467889908257,0.09903381642512077,0.7385892116182573,0.5698858152812176,0.591731491494285,0.0886494097847551,0.07984935413062037,41.0,373.0,68.0,1205.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,extended_zip_top50_log_sqrt_interactions,top_n,label,log_revenue_sqrt_subscribers,True,25,BalancedBagging_tree_depthnone_leaf25,original,validation_threshold,0.55,1688,109,0.15450643776824036,0.3302752293577982,0.10084033613445378,0.7665876777251185,0.5634910028992918,0.56973697207035,0.10039161164495068,0.07642287313505806,36,321,73,1258,0.55,0.15486725663716813,0.3211009174311927,0.10204081632653061,0.7735625370480143,0.5629585702491832,0.5957023755537726,0.09407817779443317,0.07691391298496515,35.0,308.0,74.0,1270.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,extended_zip_log_sqrt_interactions,encoded,label,log_revenue_sqrt_subscribers,True,25,BalancedBagging_original,original,validation_threshold,0.55,1688,109,0.15087040618955513,0.3577981651376147,0.09558823529411764,0.7399289099526066,0.5620529774389783,0.5757301973726258,0.10534161351429257,0.07124622662911359,39,369,70,1210,0.55,0.17634408602150536,0.3761467889908257,0.1151685393258427,0.7729697688203913,0.5882635085638539,0.6011005685980395,0.09531320034168707,0.10635646752645796,41.0,315.0,68.0,1263.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,extended_zip_log_sqrt_interactions,encoded,label,log_revenue_sqrt_subscribers,True,25,BalancedBagging_tree_depthnone_leaf25,original,validation_threshold,0.54,1688,109,0.14728682170542637,0.3486238532110092,0.09336609336609336,0.7393364928909952,0.5574658214756756,0.5789868166473962,0.09996655372515703,0.06603469244867245,38,369,71,1210,0.54,0.16633663366336635,0.3853211009174312,0.10606060606060606,0.7504445761707172,0.5804932500784874,0.5986267601539518,0.09163589950733964,0.09337819897268516,42.0,354.0,67.0,1224.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,paper_core_zip_log_ka_abstract,encoded,abstract,log_revenue,False,21,BalancedBagging_tree_depthnone_leaf25,original,validation_threshold,0.53,1688,109,0.14616755793226383,0.3761467889908257,0.09070796460176991,0.7162322274881516,0.5579277326841399,0.5831730685429751,0.10612103128852676,0.06430465125001827,41,411,68,1168,0.53,0.15264187866927592,0.3577981651376147,0.09701492537313433,0.7433313574392413,0.5638800711619633,0.606801083708329,0.09197125471254664,0.07372207406339759,39.0,363.0,70.0,1215.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,paper_core_zip_log,encoded,label,log_revenue,False,20,BalancedBagging_tree_depthnone_leaf25,original,validation_threshold,0.54,1688,109,0.14595660749506903,0.3394495412844037,0.09296482412060302,0.7434834123222749,0.5554119144040764,0.5778276809733254,0.1052342482150767,0.06416542470069216,37,361,72,1218,0.54,0.15384615384615385,0.3211009174311927,0.10115606936416185,0.7717842323651453,0.5620079999069778,0.6006732479854884,0.08780686826117923,0.0755078368863059,35.0,311.0,74.0,1267.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,extended_no_zip_log_sqrt_interactions,drop,label,log_revenue_sqrt_subscribers,True,24,BalancedBagging_original,original,validation_threshold,0.55,1688,109,0.14531548757170173,0.3486238532110092,0.09178743961352658,0.7351895734597157,0.5552492286954349,0.5640400671659569,0.09851681239200138,0.06312125782514785,38,376,71,1203,0.55,0.17943107221006566,0.3761467889908257,0.11781609195402298,0.7777119146413752,0.5907983628097347,0.6001558121417194,0.0993277261223172,0.11033031329211024,41.0,307.0,68.0,1271.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,paper_core_zip_log,encoded,label,log_revenue,False,20,BalancedBagging_original,original,validation_threshold,0.51,1688,109,0.14322916666666666,0.5045871559633027,0.0834597875569044,0.6101895734597157,0.5610332866580288,0.5765668667313535,0.09904140507120306,0.061496538697988185,55,604,54,975,0.51,0.15082956259426847,0.45871559633027525,0.09025270758122744,0.6662714878482513,0.5696619806746434,0.5954465645748306,0.0857216613031967,0.07293277281372816,50.0,504.0,59.0,1074.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,extended_no_zip_log_sqrt_interactions,drop,label,log_revenue_sqrt_subscribers,True,24,BalancedBagging_tree_depthnone_leaf25,original,validation_threshold,0.55,1688,109,0.14163090128755365,0.30275229357798167,0.09243697478991597,0.7630331753554502,0.5487795666749946,0.5675232843920492,0.09614736291489268,0.05871500630568565,33,324,76,1255,0.55,0.17558886509635974,0.3761467889908257,0.11452513966480447,0.7717842323651453,0.5876297950023837,0.6003883675771212,0.09841784407456343,0.10537668593015292,41.0,317.0,68.0,1261.0,max_f1_with_min_recall_constraint,0.3
paper_ablation_benchmark,extended_zip_top50_log_sqrt_ka_abstract,top_n,abstract,log_revenue_sqrt_subscribers,True,26,BalancedBagging_tree_depthnone_leaf25,original,validation_threshold,0.53,1688,109,0.1413427561837456,0.3669724770642202,0.087527352297593,0.7120853080568721,0.5514406400520595,0.5781908187158288,0.10524386028269422,0.056905408697319124,40,417,69,1162,0.53,0.15932203389830507,0.43119266055045874,0.09771309771309772,0.7059869590989923,0.5780804874361927,0.5995482610667318,0.10099340094789166,0.0850340898838592,47.0,434.0,62.0,1144.0,max_f1_with_min_recall_constraint,0.3
