variant,model,train_kind,folds,f1_mean,f1_sd,f1_ci95_low,f1_ci95_high,recall_mean,recall_sd,recall_ci95_low,recall_ci95_high,precision_mean,precision_sd,precision_ci95_low,precision_ci95_high,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,roc_auc_mean,roc_auc_sd,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_sd,pr_auc_ci95_low,pr_auc_ci95_high,mcc_mean,mcc_sd,mcc_ci95_low,mcc_ci95_high
with_billing_zip,BalancedBagging_original,original,5,0.14547466870247963,0.01257680561768983,0.134450612520505,0.15649872488445427,0.5247706422018348,0.07604170930312697,0.45811714520002333,0.5914241392036462,0.08452565619803407,0.006895128400306614,0.07848180967789747,0.09056950271817066,0.602777582685549,0.029990201004494066,0.576490012468416,0.6290651529026821,0.5664686197184666,0.02692767840096955,0.5428654689211849,0.5900717705157483,0.5858681227759264,0.024686642189677165,0.5642293268275721,0.6075069187242806,0.09103678224520077,0.008343097928834373,0.08372373447337073,0.09834983001703082,0.06672817449863894,0.026348087617492296,0.0436330574226243,0.08982329157465357
with_billing_zip,EasyEnsemble_original,original,5,0.14445780197667563,0.011725897570322679,0.13417959958341472,0.15473600436993654,0.5834862385321101,0.05373046041961951,0.5363894134435427,0.6305830636206775,0.08244122561556741,0.006617064204595729,0.07664111310936841,0.0882413381217664,0.5536984102012321,0.012271015320613709,0.5429423910325774,0.5644544293698869,0.56756403719152,0.025976360370253148,0.5447947534139204,0.5903333209691197,0.5889310188809608,0.02407685115337745,0.567826728342627,0.6100353094192945,0.09065504508700456,0.007005369850371901,0.0845145676753646,0.09679552249864452,0.06668986392946379,0.02555796829003494,0.044287316979849334,0.08909241087907824
without_billing_zip,EasyEnsemble_original,original,5,0.14082160303172392,0.008136273530795426,0.13368984483795474,0.1479533612254931,0.58348623853211,0.058600805220812145,0.5321203680002055,0.6348521090640146,0.08013012998946015,0.004570318450635546,0.07612406923755866,0.08413619074136164,0.5403041659526291,0.03318931505854759,0.5112124486303817,0.5693958832748764,0.560404318096394,0.01876083710730111,0.5439597193183975,0.5768489168743905,0.5832022955622141,0.02335611437101319,0.5627297586680668,0.6036748324563614,0.08851958487952517,0.011395119886052275,0.07853132191015194,0.0985078478488984,0.059628192331564765,0.018384297981605728,0.043513644649415595,0.07574274001371394
without_billing_zip,LogisticRegression_SMOTE,resampled,5,0.1308592161448176,0.015372776009237595,0.1173843838582806,0.1443340484313546,0.1743119266055046,0.02338999776877424,0.15380968960372193,0.19481416360728726,0.10531939146727301,0.013637914848515315,0.09336523203560049,0.11727355089894553,0.8502830398053698,0.01352004685723999,0.8384321962233156,0.862133883387424,0.535640749762553,0.010734719868825942,0.526231352930877,0.5450501465942291,0.5810615752814752,0.01821588880380455,0.5650946447522085,0.5970285058107418,0.087622244944953,0.00987822700807643,0.07896359720675757,0.09628089268314845,0.05690425148241618,0.01775583410384709,0.04134057667747901,0.07246792628735335
