bin,bin_low,bin_high,count,mean_score,observed_rate,abs_gap,case_label,model,calibration_method
6,0.6000000000000001,0.7000000000000001,0,,,,BalancedBagging_with_zip,BalancedBagging_original,platt
7,0.7000000000000001,0.8,0,,,,BalancedBagging_with_zip,BalancedBagging_original,platt
8,0.8,0.9,0,,,,BalancedBagging_with_zip,BalancedBagging_original,platt
9,0.9,1.0,0,,,,BalancedBagging_with_zip,BalancedBagging_original,platt
0,0.0,0.1,37,0.05649333733538273,0.08108108108108109,0.024587743745698352,CatBoost_native_with_zip,CatBoost_native_categorical,raw
1,0.1,0.2,101,0.15931660286048965,0.0594059405940594,0.09991066226643025,CatBoost_native_with_zip,CatBoost_native_categorical,raw
2,0.2,0.30000000000000004,197,0.25959767973202497,0.07106598984771574,0.18853168988430924,CatBoost_native_with_zip,CatBoost_native_categorical,raw
3,0.30000000000000004,0.4,363,0.35170913189522685,0.046831955922865015,0.30487717597236186,CatBoost_native_with_zip,CatBoost_native_categorical,raw
4,0.4,0.5,493,0.4530355244076314,0.060851926977687626,0.3921835974299438,CatBoost_native_with_zip,CatBoost_native_categorical,raw
5,0.5,0.6000000000000001,410,0.541697159840663,0.07317073170731707,0.46852642813334594,CatBoost_native_with_zip,CatBoost_native_categorical,raw
6,0.6000000000000001,0.7000000000000001,82,0.6351756157666394,0.0975609756097561,0.5376146401568833,CatBoost_native_with_zip,CatBoost_native_categorical,raw
7,0.7000000000000001,0.8,5,0.7326359570138365,0.2,0.5326359570138366,CatBoost_native_with_zip,CatBoost_native_categorical,raw
8,0.8,0.9,0,,,,CatBoost_native_with_zip,CatBoost_native_categorical,raw
9,0.9,1.0,0,,,,CatBoost_native_with_zip,CatBoost_native_categorical,raw
0,0.0,0.1,1688,0.06493037507405566,0.06457345971563981,0.00035691535841585187,CatBoost_native_with_zip,CatBoost_native_categorical,isotonic
1,0.1,0.2,0,,,,CatBoost_native_with_zip,CatBoost_native_categorical,isotonic
2,0.2,0.30000000000000004,0,,,,CatBoost_native_with_zip,CatBoost_native_categorical,isotonic
3,0.30000000000000004,0.4,0,,,,CatBoost_native_with_zip,CatBoost_native_categorical,isotonic
4,0.4,0.5,0,,,,CatBoost_native_with_zip,CatBoost_native_categorical,isotonic
5,0.5,0.6000000000000001,0,,,,CatBoost_native_with_zip,CatBoost_native_categorical,isotonic
6,0.6000000000000001,0.7000000000000001,0,,,,CatBoost_native_with_zip,CatBoost_native_categorical,isotonic
7,0.7000000000000001,0.8,0,,,,CatBoost_native_with_zip,CatBoost_native_categorical,isotonic
8,0.8,0.9,0,,,,CatBoost_native_with_zip,CatBoost_native_categorical,isotonic
9,0.9,1.0,0,,,,CatBoost_native_with_zip,CatBoost_native_categorical,isotonic
0,0.0,0.1,1688,0.0646486364509043,0.06457345971563981,7.517673526448443e-05,CatBoost_native_with_zip,CatBoost_native_categorical,platt
1,0.1,0.2,0,,,,CatBoost_native_with_zip,CatBoost_native_categorical,platt
2,0.2,0.30000000000000004,0,,,,CatBoost_native_with_zip,CatBoost_native_categorical,platt
3,0.30000000000000004,0.4,0,,,,CatBoost_native_with_zip,CatBoost_native_categorical,platt
4,0.4,0.5,0,,,,CatBoost_native_with_zip,CatBoost_native_categorical,platt
5,0.5,0.6000000000000001,0,,,,CatBoost_native_with_zip,CatBoost_native_categorical,platt
6,0.6000000000000001,0.7000000000000001,0,,,,CatBoost_native_with_zip,CatBoost_native_categorical,platt
7,0.7000000000000001,0.8,0,,,,CatBoost_native_with_zip,CatBoost_native_categorical,platt
8,0.8,0.9,0,,,,CatBoost_native_with_zip,CatBoost_native_categorical,platt
9,0.9,1.0,0,,,,CatBoost_native_with_zip,CatBoost_native_categorical,platt
0,0.0,0.1,145,0.053131255118882864,0.06206896551724138,0.008937710398358514,XGBoost_with_zip,XGBoost_SMOTE,raw
1,0.1,0.2,183,0.15074192199224984,0.03278688524590164,0.11795503674634819,XGBoost_with_zip,XGBoost_SMOTE,raw
2,0.2,0.30000000000000004,190,0.2508703419252446,0.042105263157894736,0.20876507876734987,XGBoost_with_zip,XGBoost_SMOTE,raw
3,0.30000000000000004,0.4,176,0.3532900739122521,0.07386363636363637,0.27942643754861574,XGBoost_with_zip,XGBoost_SMOTE,raw
4,0.4,0.5,193,0.4494262620266237,0.05699481865284974,0.392431443373774,XGBoost_with_zip,XGBoost_SMOTE,raw
5,0.5,0.6000000000000001,219,0.5522346017567534,0.0958904109589041,0.4563441907978493,XGBoost_with_zip,XGBoost_SMOTE,raw
6,0.6000000000000001,0.7000000000000001,197,0.6504870634998767,0.08629441624365482,0.5641926472562219,XGBoost_with_zip,XGBoost_SMOTE,raw
7,0.7000000000000001,0.8,192,0.7490115299200019,0.052083333333333336,0.6969281965866685,XGBoost_with_zip,XGBoost_SMOTE,raw
8,0.8,0.9,153,0.8479927548396042,0.06535947712418301,0.7826332777154212,XGBoost_with_zip,XGBoost_SMOTE,raw
9,0.9,1.0,40,0.9245818987488746,0.1,0.8245818987488747,XGBoost_with_zip,XGBoost_SMOTE,raw
0,0.0,0.1,1648,0.06263899006982797,0.06371359223300971,0.0010746021631817398,XGBoost_with_zip,XGBoost_SMOTE,isotonic
1,0.1,0.2,40,0.12837246228876034,0.1,0.028372462288760336,XGBoost_with_zip,XGBoost_SMOTE,isotonic
2,0.2,0.30000000000000004,0,,,,XGBoost_with_zip,XGBoost_SMOTE,isotonic
3,0.30000000000000004,0.4,0,,,,XGBoost_with_zip,XGBoost_SMOTE,isotonic
4,0.4,0.5,0,,,,XGBoost_with_zip,XGBoost_SMOTE,isotonic
5,0.5,0.6000000000000001,0,,,,XGBoost_with_zip,XGBoost_SMOTE,isotonic
6,0.6000000000000001,0.7000000000000001,0,,,,XGBoost_with_zip,XGBoost_SMOTE,isotonic
7,0.7000000000000001,0.8,0,,,,XGBoost_with_zip,XGBoost_SMOTE,isotonic
8,0.8,0.9,0,,,,XGBoost_with_zip,XGBoost_SMOTE,isotonic
9,0.9,1.0,0,,,,XGBoost_with_zip,XGBoost_SMOTE,isotonic
0,0.0,0.1,1688,0.06457671964771426,0.06457345971563981,3.2599320744508553e-06,XGBoost_with_zip,XGBoost_SMOTE,platt
1,0.1,0.2,0,,,,XGBoost_with_zip,XGBoost_SMOTE,platt
2,0.2,0.30000000000000004,0,,,,XGBoost_with_zip,XGBoost_SMOTE,platt
3,0.30000000000000004,0.4,0,,,,XGBoost_with_zip,XGBoost_SMOTE,platt
4,0.4,0.5,0,,,,XGBoost_with_zip,XGBoost_SMOTE,platt
5,0.5,0.6000000000000001,0,,,,XGBoost_with_zip,XGBoost_SMOTE,platt
6,0.6000000000000001,0.7000000000000001,0,,,,XGBoost_with_zip,XGBoost_SMOTE,platt
7,0.7000000000000001,0.8,0,,,,XGBoost_with_zip,XGBoost_SMOTE,platt
8,0.8,0.9,0,,,,XGBoost_with_zip,XGBoost_SMOTE,platt
9,0.9,1.0,0,,,,XGBoost_with_zip,XGBoost_SMOTE,platt
