case_label,variant,model,topk_pct,contacts,tp,fp,fn,tn,recall_at_k,precision_at_k,lift_vs_random,net_benefit,paper_multiple
BalancedBagging_no_zip,without_billing_zip,BalancedBagging_original,0.3,506,38,468,71,1111,0.3486238532110092,0.07509881422924901,1.1629981506327736,66960.0,0.9024258760107817
BalancedBagging_no_zip,without_billing_zip,BalancedBagging_original,0.4,675,57,618,52,961,0.5229357798165137,0.08444444444444445,1.3077268093781855,110520.0,1.4894878706199461
BalancedBagging_no_zip,without_billing_zip,BalancedBagging_original,0.5,844,62,782,47,797,0.5688073394495413,0.07345971563981042,1.1376146788990824,107040.0,1.442587601078167
BalancedBagging_no_zip,without_billing_zip,BalancedBagging_original,0.75,1266,87,1179,22,400,0.7981651376146789,0.06872037914691943,1.0642201834862386,140400.0,1.8921832884097034
BalancedBagging_no_zip,without_billing_zip,BalancedBagging_original,1.0,1688,109,1579,0,0,1.0,0.06457345971563981,1.0,163680.0,2.2059299191374664
EasyEnsemble_with_zip,with_billing_zip,EasyEnsemble_original,0.05,84,11,73,98,1506,0.10091743119266056,0.13095238095238096,2.0279598077763215,26880.0,0.3622641509433962
EasyEnsemble_with_zip,with_billing_zip,EasyEnsemble_original,0.1,169,13,156,96,1423,0.11926605504587157,0.07692307692307693,1.1912491178546225,23400.0,0.31536388140161725
EasyEnsemble_with_zip,with_billing_zip,EasyEnsemble_original,0.15,253,22,231,87,1348,0.2018348623853211,0.08695652173913043,1.3466294375747905,43560.0,0.5870619946091644
EasyEnsemble_with_zip,with_billing_zip,EasyEnsemble_original,0.2,338,29,309,80,1270,0.26605504587155965,0.08579881656804733,1.3287009391455402,56880.0,0.7665768194070081
EasyEnsemble_with_zip,with_billing_zip,EasyEnsemble_original,0.25,422,41,381,68,1198,0.3761467889908257,0.0971563981042654,1.5045871559633028,87120.0,1.1741239892183288
EasyEnsemble_with_zip,with_billing_zip,EasyEnsemble_original,0.3,506,46,460,63,1119,0.42201834862385323,0.09090909090909091,1.407839866555463,93840.0,1.2646900269541779
EasyEnsemble_with_zip,with_billing_zip,EasyEnsemble_original,0.4,675,51,624,58,955,0.46788990825688076,0.07555555555555556,1.170071355759429,90360.0,1.217789757412399
EasyEnsemble_with_zip,with_billing_zip,EasyEnsemble_original,0.5,844,58,786,51,793,0.5321100917431193,0.06872037914691943,1.0642201834862386,93600.0,1.261455525606469
EasyEnsemble_with_zip,with_billing_zip,EasyEnsemble_original,0.75,1266,90,1176,19,403,0.8256880733944955,0.07109004739336493,1.1009174311926606,150480.0,2.028032345013477
EasyEnsemble_with_zip,with_billing_zip,EasyEnsemble_original,1.0,1688,109,1579,0,0,1.0,0.06457345971563981,1.0,163680.0,2.2059299191374664
CatBoost_native_with_zip,with_billing_zip,CatBoost_native_categorical,0.05,84,9,75,100,1504,0.08256880733944955,0.10714285714285714,1.659239842726081,20160.0,0.27169811320754716
CatBoost_native_with_zip,with_billing_zip,CatBoost_native_categorical,0.1,169,15,154,94,1425,0.13761467889908258,0.08875739644970414,1.3745182129091797,30120.0,0.4059299191374663
CatBoost_native_with_zip,with_billing_zip,CatBoost_native_categorical,0.15,253,18,235,91,1344,0.1651376146788991,0.07114624505928854,1.1017877216521015,30120.0,0.4059299191374663
CatBoost_native_with_zip,with_billing_zip,CatBoost_native_categorical,0.2,338,26,312,83,1267,0.23853211009174313,0.07692307692307693,1.1912491178546225,46800.0,0.6307277628032345
CatBoost_native_with_zip,with_billing_zip,CatBoost_native_categorical,0.25,422,32,390,77,1189,0.29357798165137616,0.07582938388625593,1.1743119266055047,56880.0,0.7665768194070081
CatBoost_native_with_zip,with_billing_zip,CatBoost_native_categorical,0.3,506,41,465,68,1114,0.3761467889908257,0.08102766798418973,1.2548137941037822,77040.0,1.0382749326145553
CatBoost_native_with_zip,with_billing_zip,CatBoost_native_categorical,0.4,675,53,622,56,957,0.48623853211009177,0.07851851851851852,1.2159565069656812,97080.0,1.308355795148248
CatBoost_native_with_zip,with_billing_zip,CatBoost_native_categorical,0.5,844,65,779,44,800,0.5963302752293578,0.07701421800947868,1.1926605504587156,117120.0,1.5784366576819406
CatBoost_native_with_zip,with_billing_zip,CatBoost_native_categorical,0.75,1266,91,1175,18,404,0.8348623853211009,0.07187993680884676,1.1131498470948011,153840.0,2.0733153638814015
CatBoost_native_with_zip,with_billing_zip,CatBoost_native_categorical,1.0,1688,109,1579,0,0,1.0,0.06457345971563981,1.0,163680.0,2.2059299191374664
CatBoost_balanced_with_zip,with_billing_zip,CatBoost_original_balanced,0.05,84,9,75,100,1504,0.08256880733944955,0.10714285714285714,1.659239842726081,20160.0,0.27169811320754716
CatBoost_balanced_with_zip,with_billing_zip,CatBoost_original_balanced,0.1,169,17,152,92,1427,0.1559633027522936,0.10059171597633136,1.557787307963737,36840.0,0.4964959568733154
