case_label,variant,model,scenario,fn_cost,fp_cost,retention_rate,threshold,expected_net_value,tp,fp,fn,tn,recall,precision,f1
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.27,249930.0,87,1065,22,514,0.7981651376146789,0.07552083333333333,0.1379857256145916
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.28,238350.0,83,1019,26,560,0.7614678899082569,0.07531760435571688,0.1370767960363336
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.29,233280.0,81,972,28,607,0.7431192660550459,0.07692307692307693,0.13941480206540446
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.3,215100.0,75,930,34,649,0.6880733944954128,0.07462686567164178,0.13464991023339318
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.31,207210.0,72,869,37,710,0.6605504587155964,0.0765143464399575,0.13714285714285715
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.32,198480.0,69,836,40,743,0.6330275229357798,0.07624309392265194,0.13609467455621302
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.33,190020.0,66,794,43,785,0.6055045871559633,0.07674418604651163,0.13622291021671826
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.34,181170.0,63,765,46,814,0.5779816513761468,0.07608695652173914,0.1344717182497332
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.35,175890.0,61,725,48,854,0.5596330275229358,0.07760814249363868,0.13631284916201117
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.36,164160.0,57,684,52,895,0.5229357798165137,0.07692307692307693,0.13411764705882354
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.37,152670.0,53,635,56,944,0.48623853211009177,0.07703488372093023,0.1329987452948557
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.38,134130.0,47,605,62,974,0.43119266055045874,0.07208588957055215,0.12352168199737187
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.39,122280.0,43,568,66,1011,0.3944954128440367,0.07037643207855974,0.11944444444444445
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.4,120480.0,42,520,67,1059,0.3853211009174312,0.07473309608540925,0.12518628912071536
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.41,115680.0,40,464,69,1115,0.3669724770642202,0.07936507936507936,0.13050570962479607
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.42,113490.0,39,429,70,1150,0.3577981651376147,0.08333333333333333,0.13518197573656845
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.43,111210.0,38,397,71,1182,0.3486238532110092,0.08735632183908046,0.13970588235294118
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.44,105510.0,36,371,73,1208,0.3302752293577982,0.08845208845208845,0.13953488372093023
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.45,93540.0,32,338,77,1241,0.29357798165137616,0.08648648648648649,0.1336116910229645
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.46,94350.0,32,311,77,1268,0.29357798165137616,0.09329446064139942,0.1415929203539823
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,optimistic_low_campaign_cost,5400.0,30.0,0.6,0.47,91830.0,31,287,78,1292,0.28440366972477066,0.09748427672955975,0.1451990632318501
