CRM_segment_bucket,CRM_PID_Value_Segment,confusion_group,rows,avg_arpu,avg_total_revenue,avg_active_subscribers,avg_dormant_rate,total_revenue_sum
high_value,Gold,FN,2,17.275,196.16500000000002,11.5,0.6048648648648649,392.33000000000004
high_value,Gold,FP,214,27.670420560747665,241.5191121495327,12.588785046728972,0.14121014693033074,51685.09
high_value,Gold,TN,52,27.31596153846154,174.73538461538462,7.865384615384615,0.3225296390733846,9086.24
high_value,Gold,TP,15,23.329333333333334,228.26666666666668,15.8,0.15832687338501292,3424.0
high_value,Platinum,FN,4,35.075,262.25,7.5,0.7208333333333333,1049.0
high_value,Platinum,FP,100,24.970399999999998,373.10699999999997,19.45,0.11822462819163441,37310.7
high_value,Platinum,TN,10,75.166,372.959,10.9,0.3736060606060606,3729.59
high_value,Platinum,TP,7,74.12142857142858,369.6657142857143,13.0,0.251547619047619,2587.66
low_value,Bronze,FN,33,21.75060606060606,75.87848484848485,4.515151515151516,0.17498250907341817,2503.99
low_value,Bronze,FP,76,26.067368421052635,126.67723684210526,6.157894736842105,0.09986946532999165,9627.47
low_value,Bronze,TN,616,21.692012987012987,73.69935064935065,4.319805194805195,0.1506012538573094,45398.8
low_value,Bronze,TP,13,27.948461538461537,108.60230769230769,6.076923076923077,0.15442890442890445,1411.83
low_value,Iron,FN,1,23.09,46.17,2.0,0.0,46.17
low_value,Iron,FP,2,44.33,44.33,1.0,0.7083333333333333,88.66
low_value,Iron,TN,39,22.377692307692307,55.02564102564103,2.948717948717949,0.18213268213268213,2146.0
low_value,Lead,FP,1,44.39,488.33,11.0,0.1538461538461538,488.33
low_value,Lead,TN,3,10.696666666666667,213.22333333333333,6.333333333333333,0.5666666666666667,639.67
mid_value,SE,FP,7,15.45857142857143,292.85714285714283,27.428571428571427,0.09741012684143423,2050.0
mid_value,SE,TN,4,48.0425,148.8325,3.5,0.16666666666666666,595.33
mid_value,SME,FP,38,28.017894736842106,333.02184210526315,17.63157894736842,0.12186788617328471,12654.83
mid_value,SME,TN,10,24.051000000000002,145.277,6.8,0.33377098233834473,1452.77
mid_value,SME,TP,6,18.723333333333333,381.3616666666667,21.5,0.07037037037037037,2288.17
mid_value,Silver,FN,5,18.254,106.864,7.0,0.3731313131313131,534.32
mid_value,Silver,FP,228,25.508552631578947,169.60894736842107,8.258771929824562,0.09145293639977081,38670.840000000004
mid_value,Silver,TN,179,24.387932960893853,116.55418994413408,6.156424581005586,0.2327487186719013,20863.2
mid_value,Silver,TP,23,21.62391304347826,168.46391304347827,9.782608695652174,0.17218335089179077,3874.67
