group_level,billing_zip_group,rows,train_rows,test_rows,churn_count,non_churn_count,churn_rate,churn_rate_percent,support_flag
zip_value,4824,6,6,0,0,6,0.0,0.0,no_positive
zip_value,4900,6,4,2,0,6,0.0,0.0,no_positive
zip_value,4940,6,6,0,0,6,0.0,0.0,no_positive
zip_value,6180,6,5,1,0,6,0.0,0.0,no_positive
zip_value,4241,5,3,2,1,4,0.2,20.0,small_support
zip_value,4260,5,5,0,0,5,0.0,0.0,no_positive
zip_value,4285,5,5,0,0,5,0.0,0.0,no_positive
zip_value,4340,5,4,1,0,5,0.0,0.0,no_positive
zip_value,4370,5,5,0,0,5,0.0,0.0,no_positive
zip_value,4412,5,5,0,0,5,0.0,0.0,no_positive
zip_value,4492,5,3,2,0,5,0.0,0.0,no_positive
zip_value,4987,5,4,1,0,5,0.0,0.0,no_positive
zip_value,6010,5,5,0,0,5,0.0,0.0,no_positive
zip_value,6138,5,4,1,0,5,0.0,0.0,no_positive
zip_value,6155,5,4,1,0,5,0.0,0.0,no_positive
zip_value,6770,5,4,1,0,5,0.0,0.0,no_positive
zip_value,6884,4,2,2,2,2,0.5,50.0,small_support
zip_value,8000,4,3,1,2,2,0.5,50.0,small_support
zip_value,4160,4,3,1,1,3,0.25,25.0,small_support
zip_value,4406,4,3,1,1,3,0.25,25.0,small_support
zip_value,4703,4,4,0,1,3,0.25,25.0,small_support
zip_value,6158,4,3,1,1,3,0.25,25.0,small_support
zip_value,6250,4,3,1,1,3,0.25,25.0,small_support
zip_value,6343,4,3,1,1,3,0.25,25.0,small_support
zip_value,6560,4,4,0,1,3,0.25,25.0,small_support
zip_value,4121,4,2,2,0,4,0.0,0.0,no_positive
zip_value,4122,4,4,0,0,4,0.0,0.0,no_positive
zip_value,4140,4,4,0,0,4,0.0,0.0,no_positive
zip_value,4223,4,4,0,0,4,0.0,0.0,no_positive
zip_value,4349,4,3,1,0,4,0.0,0.0,no_positive
zip_value,4442,4,4,0,0,4,0.0,0.0,no_positive
zip_value,4455,4,4,0,0,4,0.0,0.0,no_positive
zip_value,4820,4,3,1,0,4,0.0,0.0,no_positive
zip_value,4870,4,4,0,0,4,0.0,0.0,no_positive
zip_value,6014,4,4,0,0,4,0.0,0.0,no_positive
zip_value,6060,4,3,1,0,4,0.0,0.0,no_positive
zip_value,6065,4,3,1,0,4,0.0,0.0,no_positive
zip_value,6163,4,3,1,0,4,0.0,0.0,no_positive
