model_scope,train_rows,test_rows,f1,recall,precision,accuracy,balanced_accuracy,pr_auc,tp,fp,fn,tn,roc_auc
global_model_on_high_value_test,6748,404,0.12087912087912088,0.7857142857142857,0.06547619047619048,0.2079207920792079,0.47530395136778114,0.08236625757232385,22,314,6,62,0.4955357142857143
high_value_only_model,1585,404,0.13245033112582782,0.35714285714285715,0.08130081300813008,0.6757425742574258,0.5283054711246201,0.13405048840451947,10,113,18,263,0.5757028875379939
