CRM_PID_Value_Segment,rows,positives,churn_rate,tp,fp,fn,tn,recall,precision,f1,pr_auc,avg_arpu,avg_total_revenue,avg_dormant_rate,fn_total_revenue_at_risk,tp_total_revenue_captured
Bronze,738,46,0.06233062330623306,13,76,33,616,0.2826086956521739,0.14606741573033707,0.1925925925925926,0.09837787975540249,22.255420054200542,79.86733062330624,0.1465344854988896,2503.99,1411.8300000000002
Silver,435,28,0.06436781609195402,23,228,5,179,0.8214285714285714,0.09163346613545817,0.16487455197132617,0.10830280680883678,24.758643678160915,146.9954712643678,0.15710152592548468,534.32,3874.67
Gold,283,17,0.06007067137809187,15,214,2,52,0.8823529411764706,0.06550218340611354,0.12195121951219512,0.09693590072938059,27.30173144876325,228.22494699646646,0.17871076150322157,392.33000000000004,3424.0
Platinum,121,11,0.09090909090909091,7,100,4,10,0.6363636363636364,0.06542056074766354,0.11864406779661017,0.08943184416517604,32.296280991735536,369.23099173553715,0.16696438092471663,1049.0,2587.66
SME,54,6,0.1111111111111111,6,38,0,10,1.0,0.13636363636363635,0.24,0.29974747474747476,26.25055555555556,303.6253703703704,0.15538725407760162,0.0,2288.17
Iron,42,1,0.023809523809523808,0,2,1,39,0.0,0.0,0.0,0.047619047619047616,23.44,54.30547619047619,0.20285336356764927,46.17,0.0
SE,11,0,0.0,0,7,0,4,0.0,0.0,0.0,,27.30727272727273,240.48454545454544,0.12259432314151875,0.0,0.0
Lead,4,0,0.0,0,1,0,3,0.0,0.0,0.0,,19.12,282.0,0.4634615384615385,0.0,0.0
