CRM_segment_bucket,rows,positives,churn_rate,tp,fp,fn,tn,recall,precision,f1,pr_auc,avg_arpu,avg_total_revenue,avg_dormant_rate,fn_total_revenue_at_risk,tp_total_revenue_captured
low_value,784,47,0.05994897959183673,13,79,34,658,0.2765957446808511,0.14130434782608695,0.18705035971223022,0.09530213574251825,22.302882653061225,79.52923469387756,0.15116854301258664,2550.16,1411.8300000000002
mid_value,500,34,0.068,29,273,5,193,0.8529411764705882,0.09602649006622517,0.17261904761904762,0.1307382693148579,24.975840000000005,165.96826,0.15615722610466606,534.32,6162.84
high_value,404,28,0.06930693069306931,22,314,6,62,0.7857142857142857,0.06547619047619048,0.12087912087912088,0.08236625757232385,28.79762376237624,270.45695544554457,0.17519266236956044,1441.33,6011.66
