column,column_ko,column_description,value,rows,yes_count,no_count,churners,churn_rate,yes_rate,no_rate,yes_rate_percent,no_rate_percent,total_revenue_mean,arpu_mean,active_rate_mean,path
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6500,96,1,95,1,0.010416666666666666,0.010416666666666666,0.9895833333333334,1.0416666666666665,98.95833333333334,166.618125,30.832708333333333,0.8309418870292977,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6500_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4500,94,5,89,5,0.05319148936170213,0.05319148936170213,0.9468085106382979,5.319148936170213,94.68085106382979,142.10265957446808,25.077234042553194,0.8631690037675034,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4500_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6450,85,7,78,7,0.08235294117647059,0.08235294117647059,0.9176470588235294,8.235294117647058,91.76470588235294,175.28988235294116,22.856117647058824,0.8548113102882423,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6450_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4270,73,2,71,2,0.0273972602739726,0.0273972602739726,0.9726027397260274,2.73972602739726,97.26027397260275,144.99027397260272,22.570821917808217,0.8531487279458579,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4270_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4150,71,4,67,4,0.056338028169014086,0.056338028169014086,0.9436619718309859,5.633802816901409,94.36619718309859,138.75366197183098,23.690985915492963,0.9055177959755426,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4150_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4006,57,6,51,6,0.10526315789473684,0.10526315789473684,0.8947368421052632,10.526315789473683,89.47368421052632,129.14789473684212,20.026842105263157,0.8182734393286122,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4006_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4210,47,6,41,6,0.1276595744680851,0.1276595744680851,0.8723404255319149,12.76595744680851,87.2340425531915,152.00702127659574,23.502127659574466,0.8505586952508244,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4210_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4550,46,0,46,0,0.0,0.0,1.0,0.0,100.0,104.12326086956521,25.90434782608696,0.7578167989736787,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4550_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6260,43,4,39,4,0.09302325581395349,0.09302325581395349,0.9069767441860465,9.30232558139535,90.69767441860465,184.48720930232557,21.22232558139535,0.8605013061993406,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6260_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4001,40,5,35,5,0.125,0.125,0.875,12.5,87.5,130.19175,26.802250000000004,0.7605854452564978,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4001_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4850,40,5,35,5,0.125,0.125,0.875,12.5,87.5,148.91175,27.2625,0.8143654007456252,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4850_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4020,35,1,34,1,0.02857142857142857,0.02857142857142857,0.9714285714285714,2.857142857142857,97.14285714285714,170.69057142857142,21.798285714285715,0.8349904214801226,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4020_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6800,33,3,30,3,0.09090909090909091,0.09090909090909091,0.9090909090909091,9.090909090909092,90.9090909090909,148.18151515151516,22.962424242424238,0.8295402662215956,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6800_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6200,32,1,31,1,0.03125,0.03125,0.96875,3.125,96.875,139.541875,19.2746875,0.8656348166797083,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6200_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4180,30,2,28,2,0.06666666666666667,0.06666666666666667,0.9333333333333333,6.666666666666667,93.33333333333333,154.817,21.35333333333333,0.913509944304062,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4180_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4220,26,1,25,1,0.038461538461538464,0.038461538461538464,0.9615384615384616,3.8461538461538463,96.15384615384616,121.6546153846154,23.453461538461536,0.7852720963382388,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4220_churn.csv
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6900,23,5,18,5,0.21739130434782608,0.21739130434782608,0.782608695652174,21.73913043478261,78.26086956521739,131.8265217391304,33.45521739130435,0.8197384486858171,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6900_churn.csv
