risk_rank,test_row_id,feature_rank,feature,standardized_value,coefficient,logit_contribution,direction
1,1475,1,fixed_to_mobile_ratio,67.06753825741906,0.6975484430403588,46.78285689001236,Churn_up
1,1475,2,AvgFIXRevenue_log,10.786795567055831,1.3721671258275447,14.8012862701363,Churn_up
1,1475,3,fixed_revenue_per_subscriber,8.699746842232356,-1.2394488569551307,-10.782891279403902,Churn_down
1,1475,4,AvgFIXRevenue,9.258943123092068,-1.1355523493070632,-10.514014615527675,Churn_down
1,1475,5,mobile_revenue_ratio,-22.7514000814282,0.4138812893114856,-9.416378799342942,Churn_down
1,1475,6,fix_revenue_ratio,22.751400081428205,-0.4138812893114218,-9.416378799341492,Churn_down
1,1475,7,AvgMobileRevenue_sqrt,-2.339987363734748,1.3230249105657341,-3.095861572630113,Churn_down
1,1475,8,mobile_only,-8.112452230251886,0.3615266971266554,-2.932868060400734,Churn_down
1,1475,9,zero_fixed_revenue,-8.112452230251886,0.3615266971266554,-2.932868060400734,Churn_down
1,1475,10,revenue_per_active_subscriber,3.585553139135494,-0.7512537394719607,-2.693660203850967,Churn_down
2,724,1,Active_subscribers,11.576679803385026,0.37693165870575696,4.363617120595355,Churn_up
2,724,2,AvgMobileRevenue_sqrt,1.7674573293481568,1.3230249105657341,2.3383900750895963,Churn_up
2,724,3,TotalRevenue_sqrt,1.755278479710885,1.2051812638141703,2.11542873652378,Churn_up
2,724,4,ARPU_sqrt,-1.7466515948944428,1.0885730775134077,-1.9013579019979454,Churn_down
2,724,5,revenue_engagement_interaction,2.1026956897400515,-0.5116808414993476,-1.0759090999432406,Churn_down
2,724,6,TotalRevenue,1.8350621793912991,-0.5525952418299402,-1.0140466287937122,Churn_down
2,724,7,AvgMobileRevenue,1.8546684723740388,-0.43047051783859985,-0.7983800977217774,Churn_down
2,724,8,Total_SUBs,7.355476548798675,-0.08800497425991619,-0.6473185243464445,Churn_down
2,724,9,revenue_per_active_subscriber,-0.8545078755212278,-0.7512537394719607,0.6419522368935631,Churn_up
2,724,10,revenue_per_subscriber,-0.9747252208637788,-0.6534375109977347,0.6369220222279448,Churn_up
3,429,1,Active_subscribers,10.500152483102456,0.37693165870575696,3.957839892119181,Churn_up
3,429,2,AvgMobileRevenue_sqrt,2.4291701032048523,1.3230249105657341,3.213852558541555,Churn_up
3,429,3,TotalRevenue_sqrt,2.415436898956349,1.2051812638141703,2.911039294547593,Churn_up
3,429,4,revenue_engagement_interaction,3.2836098533853044,-0.5116808414993476,-1.6801602529357418,Churn_down
3,429,5,ARPU_sqrt,-1.4955592927670929,1.0885730775134077,-1.6280255819312497,Churn_down
3,429,6,TotalRevenue,2.814034602958134,-0.5525952418299402,-1.55502213193947,Churn_down
3,429,7,AvgMobileRevenue,2.839979231725097,-0.43047051783859985,-1.2225273305315714,Churn_down
3,429,8,CRM_PID_Value_Segment_frequency,-1.5535038572670248,0.6917853290195087,-1.0746911770325447,Churn_down
3,429,9,revenue_per_active_subscriber,-0.7843207339670382,-0.7512537394719607,0.5892238843381303,Churn_up
3,429,10,Total_SUBs,6.400666391205776,-0.08800497425991619,-0.563290481004375,Churn_down
4,39,1,Active_subscribers,15.72899946733208,0.37693165870575696,5.928757859003449,Churn_up
4,39,2,AvgMobileRevenue_sqrt,2.5282083111871865,1.3230249105657341,3.344882574799973,Churn_up
4,39,3,TotalRevenue_sqrt,2.5142424674894435,1.2051812638141703,3.0301179145041854,Churn_up
4,39,4,ARPU_sqrt,-1.7353708913750814,1.0885730775134077,-1.8890780318513578,Churn_down
4,39,5,TotalRevenue,2.971546882451425,-0.5525952418299402,-1.64206266811725,Churn_down
4,39,6,revenue_engagement_interaction,2.935264017869568,-0.5116808414993476,-1.5019183626862567,Churn_down
4,39,7,AvgMobileRevenue,2.998511321065462,-0.43047051783859985,-1.2907707211239536,Churn_down
4,39,8,CRM_PID_Value_Segment_frequency,-1.5535038572670248,0.6917853290195087,-1.0746911770325447,Churn_down
4,39,9,Total_SUBs,10.983755147651689,-0.08800497425991619,-0.9666250890463087,Churn_down
4,39,10,Not_Active_subscribers,1.7109721787782737,-0.472131800854434,-0.807804375978421,Churn_down
5,1454,1,AvgMobileRevenue_sqrt,1.7474814352251118,1.3230249105657341,2.3119614695539843,Churn_up
5,1454,2,TotalRevenue_sqrt,1.735349508700662,1.2051812638141703,2.0914107140551637,Churn_up
5,1454,3,TotalRevenue,1.8074950952251885,-0.5525952418299402,-0.9988131892523939,Churn_down
5,1454,4,Active_subscribers,2.349302772391569,0.37693165870575696,0.8855265907995875,Churn_up
5,1454,5,revenue_engagement_interaction,1.7087790984213442,-0.5116808414993476,-0.8743495270167299,Churn_down
5,1454,6,AvgMobileRevenue,1.8269229057176857,-0.43047051783859985,-0.7864364492754917,Churn_down
5,1454,7,has_suspended,4.788431686281471,0.13619559002364015,0.6521632788009991,Churn_up
5,1454,8,Suspended_subscribers_missing,-4.788431686281471,-0.13619559002363887,0.652163278800993,Churn_up
5,1454,9,Suspended_subscribers,1.885125986012176,0.335475704059038,0.632413967397423,Churn_up
5,1454,10,ARPU_sqrt,-0.5762228207999796,1.0885730775134077,-0.6272606493716906,Churn_down
