source,variant,family,model,train_data,selected_threshold,test_f1,test_f2,test_recall,test_precision,test_pr_auc,test_mcc,test_balanced_accuracy,test_tp,test_fp,test_fn,test_tn,contact_rate,net_value
additional_46_candidate_training,without_billing_zip,LogisticRegression,LogisticRegression_SMOTE_C0.1,resampled,0.37,0.1334981458590853,0.23767605633802807,0.4954128440366973,0.0771428571428571,0.0890555328166925,0.0430480153876808,0.5431465740132821,54,646,55,933,0.4146919431279621,97440.0
additional_46_candidate_training,with_billing_zip,CatBoost,CatBoost_native_depth4_lr0.03,native_categorical,0.49,0.1333333333333333,0.24764150943396215,0.5779816513761468,0.0753588516746411,0.0803481319424129,0.0434697760082616,0.5442156515272121,63,773,46,806,0.495260663507109,111360.0
additional_46_candidate_training,without_billing_zip,LogisticRegression,LogisticRegression_SMOTE_C1.0,resampled,0.37,0.1328320802005012,0.2355555555555555,0.4862385321100917,0.0769230769230769,0.0879077133647559,0.0417300102546062,0.5417259791646089,53,636,56,943,0.408175355450237,95400.0
additional_46_candidate_training,without_billing_zip,CatBoost,CatBoost_encoded_depth4_lr0.03,original,0.49,0.1326203208556149,0.2456418383518224,0.5688073394495413,0.0750605326876513,0.0751869517190412,0.0417694550300136,0.542478400567076,62,764,47,815,0.48933649289099523,109200.0
additional_46_candidate_training,with_billing_zip,BalancedBagging,BalancedBagging_tree_depth3_leaf10,original,0.51,0.1320973348783314,0.23949579831932769,0.5229357798165137,0.0755968169761273,0.0854049673484398,0.0402989978225993,0.5407585802185799,57,697,52,882,0.4466824644549763,101040.0
additional_46_candidate_training,with_billing_zip,CatBoost,CatBoost_native_depth3_lr0.03,native_categorical,0.55,0.1312741312741312,0.2011834319526627,0.3119266055045872,0.0831295843520782,0.0790591640204767,0.0426954692388075,0.5372172609536869,34,375,75,1204,0.24229857819905212,65160.0
additional_46_candidate_training,with_billing_zip,EasyEnsemble,EasyEnsemble_n10,original,0.53,0.1312335958005249,0.22956841138659304,0.4587155963302752,0.0765696784073506,0.0845346355161077,0.0387702782969352,0.5384141629529781,50,603,59,976,0.3868483412322275,89640.0
additional_46_candidate_training,with_billing_zip,CatBoost,CatBoost_encoded_depth3_lr0.03,original,0.49,0.1310782241014799,0.2435192458758836,0.5688073394495413,0.074074074074074,0.0877564925552462,0.0383369684257088,0.5389951833409834,62,775,47,804,0.4958530805687204,107880.0
additional_46_candidate_training,without_billing_zip,BalancedBagging,BalancedBagging_tree_depthnone_leaf25,original,0.55,0.1300813008130081,0.19536019536019536,0.2935779816513761,0.0835509138381201,0.0834192311641623,0.0418311890600866,0.5356426957021923,32,351,77,1228,0.2268957345971564,61560.0
additional_46_candidate_training,without_billing_zip,BalancedBagging,BalancedBagging_tree_depth3_leaf25,original,0.51,0.1298405466970387,0.23651452282157676,0.5229357798165137,0.0741222366710013,0.0795963462939962,0.0355403165402629,0.5360087385466357,57,712,52,867,0.4555687203791469,99240.0
additional_46_candidate_training,with_billing_zip,RUSBoost,RUSBoost_n100_lr0.05,original,0.13,0.1277486910994764,0.23790951638065513,0.5596330275229358,0.0721040189125295,0.069920625833325,0.0307131591998363,0.5312414662630511,61,785,48,794,0.5011848341232228,103440.0
additional_46_candidate_training,without_billing_zip,RUSBoost,RUSBoost_n100_lr0.05,original,0.13,0.1277486910994764,0.23790951638065513,0.5596330275229358,0.0721040189125295,0.069920625833325,0.0307131591998363,0.5312414662630511,61,785,48,794,0.5011848341232228,103440.0
additional_46_candidate_training,without_billing_zip,LogisticRegression,LogisticRegression_balanced_C0.1,original,0.47,0.1275831087151842,0.24652777777777757,0.6513761467889908,0.0707171314741035,0.0812336564014395,0.0302855132589075,0.5302479213995619,71,933,38,646,0.5947867298578199,118080.0
additional_46_candidate_training,without_billing_zip,LogisticRegression,LogisticRegression_balanced_C1.0,original,0.47,0.1273062730627306,0.244507441530829,0.6330275229357798,0.0707692307692307,0.078972026295615,0.0294795624043907,0.5296233244824561,69,906,40,673,0.57760663507109,114840.0
additional_46_candidate_training,without_billing_zip,RandomForest,RandomForest_balanced_depth5,original,0.49,0.1267427122940431,0.22401433691756256,0.4587155963302752,0.0735294117647058,0.0769866544887847,0.0299298181603453,0.5298644479434784,50,630,59,949,0.4028436018957346,86400.0
additional_46_candidate_training,without_billing_zip,CatBoost,CatBoost_native_depth3_lr0.03,native_categorical,0.57,0.1256830601092896,0.16594516594516595,0.2110091743119266,0.0894941634241245,0.0810327760912097,0.0429709717354171,0.5314070570736327,23,234,86,1345,0.15225118483412323,46440.0
additional_46_candidate_training,with_billing_zip,RandomForest,RandomForest_balanced_depth5,original,0.53,0.1242718446601941,0.19002375296912102,0.2935779816513761,0.0788177339901477,0.076937312062569,0.0326157567875928,0.5283596051385443,32,374,77,1205,0.24052132701421802,58800.0
additional_46_candidate_training,without_billing_zip,BalancedBagging,BalancedBagging_tree_depth3_leaf10,original,0.55,0.1226415094339622,0.20249221183800611,0.3577981651376147,0.0740037950664136,0.0799133132334324,0.0258514235343794,0.5243709001748872,39,488,70,1091,0.3122037914691943,67800.0
additional_46_candidate_training,without_billing_zip,ExtraTrees,ExtraTrees_balanced_depth5,original,0.55,0.1223529411764706,0.1728723404255319,0.2385321100917431,0.0822784810126582,0.0748038836850762,0.0345725224601045,0.5274357827216157,26,290,83,1289,0.1872037914691943,49440.0
additional_46_candidate_training,with_billing_zip,BalancedBagging,BalancedBagging_tree_depth3_leaf25,original,0.55,0.121405750798722,0.1993704092339979,0.3486238532110092,0.0735009671179884,0.0822720153394883,0.0241359930044413,0.522633649214751,38,479,71,1100,0.3062796208530806,65640.0
additional_46_candidate_training,with_billing_zip,GradientBoosting,HistGradientBoosting_balanced_lr0.03,original,0.19,0.1210962396430847,0.25052742616033746,0.8715596330275229,0.0650684931506849,0.0822387495554269,0.0050969651635549,0.503544224366833,95,1365,14,214,0.8649289099526066,144000.0
additional_46_candidate_training,without_billing_zip,RidgeClassifier,RidgeClassifier_balanced_alpha0.3,original,0.19,0.12,0.1435406698564593,0.1651376146788991,0.094240837696335,0.0766971049868657,0.0431174508114784,0.527787300056359,18,173,91,1406,0.11315165876777251,37560.0
additional_46_candidate_training,without_billing_zip,CatBoost,CatBoost_encoded_depth3_lr0.03,original,0.57,0.1198910081743869,0.15850144092219015,0.2018348623853211,0.0852713178294573,0.0816300003360357,0.0357713530842044,0.526186588887404,22,236,87,1343,0.1528436018957346,42960.0
additional_46_candidate_training,with_billing_zip,LogisticRegression,LogisticRegression_SMOTE_C1.0,resampled,0.53,0.1152542372881356,0.13665594855305466,0.1559633027522936,0.0913978494623656,0.0812942085013319,0.0384078047040487,0.5244667685389081,17,169,92,1410,0.11018957345971564,34800.0
additional_46_candidate_training,without_billing_zip,GradientBoosting,GradientBoosting_SMOTE_depth2_lr0.05,resampled,0.45,0.1115241635687732,0.1258389261744966,0.1376146788990825,0.09375,0.0890205855497423,0.0384149467104387,0.5228922032874134,15,145,94,1434,0.0947867298578199,31200.0
additional_46_candidate_training,without_billing_zip,BalancedBagging,BalancedBagging_tree_depthnone_leaf10,original,0.57,0.1111111111111111,0.1489361702127659,0.1926605504587156,0.0780669144981412,0.0826876143571871,0.0239043109006501,0.5177995595865459,21,248,88,1331,0.1593601895734597,38280.0
additional_46_candidate_training,without_billing_zip,CatBoost,CatBoost_native_depth4_lr0.03,native_categorical,0.55,0.1099365750528541,0.16249999999999995,0.2385321100917431,0.0714285714285714,0.0815670295512468,0.0146247807554727,0.5122362893713941,26,338,83,1241,0.2156398104265403,43680.0
additional_46_candidate_training,without_billing_zip,BalancedBagging,BalancedBagging_tree_depth5_leaf10,original,0.57,0.1065989847715736,0.14563106796116498,0.1926605504587156,0.0736842105263157,0.0797591544617349,0.0167076700927375,0.5127330618031387,21,264,88,1315,0.16883886255924171,36360.0
additional_46_candidate_training,with_billing_zip,LogisticRegression,LogisticRegression_balanced_C1.0,original,0.61,0.1007751937984496,0.11111111111111106,0.1192660550458715,0.087248322147651,0.0787249692144726,0.0287069209565004,0.5165677963639744,13,136,96,1443,0.08827014218009478,25800.0
additional_46_candidate_training,with_billing_zip,ExtraTrees,ExtraTrees_balanced_depth5,original,0.57,0.10062893081761,0.12403100775193791,0.146788990825688,0.0765550239234449,0.0758621553292069,0.018326127502227,0.5122798659004945,16,193,93,1386,0.12381516587677725,28680.0
additional_46_candidate_training,without_billing_zip,GradientBoosting,HistGradientBoosting_balanced_lr0.03,original,0.53,0.0915662650602409,0.12803234501347704,0.1743119266055046,0.0620915032679738,0.0712379261566436,-0.0047519184232113,0.4962756593128853,19,287,90,1292,0.18127962085308058,27120.0
additional_46_candidate_training,with_billing_zip,LogisticRegression,LogisticRegression_balanced_C0.1,original,0.61,0.0809716599190283,0.08710801393728218,0.091743119266055,0.072463768115942,0.080171163593128,0.0095793446942495,0.5053395773657698,10,128,99,1451,0.08175355450236967,17040.0
additional_46_candidate_training,without_billing_zip,LinearSVC,LinearSVC_balanced_C0.1,original,0.29,0.0568181818181818,0.049701789264413494,0.0458715596330275,0.0746268656716417,0.0781243690391569,0.0083162443603619,0.5033031009058108,5,62,104,1517,0.039691943127962086,8760.0
additional_46_candidate_training,with_billing_zip,RidgeClassifier,RidgeClassifier_balanced_alpha0.3,original,0.25,0.0566037735849056,0.055658627087198494,0.055045871559633,0.058252427184466,0.0757647918424982,-0.0065563198553171,0.4968072929679102,6,97,103,1482,0.06101895734597156,7800.0
additional_46_candidate_training,with_billing_zip,LinearSVC,LinearSVC_balanced_C0.1,original,0.29,0.0446927374301676,0.03952569169960472,0.036697247706422,0.0571428571428571,0.0773676360128699,-0.0062885703437801,0.4974493204966562,4,66,105,1513,0.041469194312796206,5040.0
recall_optimized_refit,without_billing_zip,XGBoost,XGBoost_weighted_depth3_lr0.06_n200_spw14.5,original,0.3,0.1228899392302498,0.2516592920353982,0.8348623853211009,0.0663265306122449,0.0814364648363447,0.0148628167289309,0.5117947138765099,91,1281,18,298,0.8127962085308057,141120.0
recall_optimized_refit,with_billing_zip,XGBoost,XGBoost_weighted_depth2_lr0.06_n200_spw20.0,original,0.44,0.1285198555956678,0.259929906542056,0.8165137614678899,0.0697492163009404,0.0972011680228788,0.0370611337515709,0.5323860764274219,89,1187,20,392,0.7559241706161137,145920.0
recall_optimized_refit,without_billing_zip,CatBoost,CatBoost_weighted_depth4_lr0.03_iter150_spw14.5,original,0.4,0.126527677929547,0.2561117578579744,0.8073394495412844,0.0686427457098284,0.0790491553759362,0.029421671201756,0.5255823276838785,88,1194,21,385,0.759478672985782,141840.0
recall_optimized_refit,without_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.43,0.1299477221807319,0.2611044417767106,0.7981651376146789,0.0707317073170731,0.0815892635958116,0.0410624720603151,0.5371446334051861,87,1143,22,436,0.7286729857819905,144720.0
recall_optimized_refit,with_billing_zip,CatBoost,CatBoost_weighted_depth4_lr0.03_iter150_spw20.0,original,0.48,0.1253687315634218,0.2525252525252525,0.7798165137614679,0.0681635926222935,0.0819483939427378,0.0245636322484733,0.5219538553607845,85,1162,24,417,0.7387440758293838,135960.0
recall_optimized_refit,with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C1.0,original,0.43,0.1297297297297297,0.2589395807644883,0.7706422018348624,0.0708263069139966,0.0787249692144726,0.0391053727719926,0.5363660660852589,84,1102,25,477,0.70260663507109,139920.0
