operating_point,variant,model,train_data,threshold,feature,baseline_f1,baseline_recall,baseline_precision,permuted_f1_mean,permuted_f1_std,f1_importance,recall_importance,precision_importance
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,AvgMobileRevenue_sqrt,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.09106168458596305,0.004113496631160905,0.07705425744302245,0.006116207951070374,0.06768137149524253
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,TotalRevenue_sqrt,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.10227600698092011,0.006574789609190338,0.06583993504806539,-0.01834862385321101,0.06053191435106945
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,revenue_engagement_interaction,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.11275080434036151,0.005098731075398656,0.055365137688623986,-0.009174311926605505,0.05197492506882019
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,revenue_per_subscriber,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.1183192670889075,0.00604230350622428,0.049796674940078,0.0,0.04678709964625695
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,AvgMobileRevenue,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.1226494746409126,0.007583004687766113,0.045466467388072904,-0.02446483180428133,0.045143285623806415
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,ARPU_sqrt,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.12427821662223164,0.012715284932518407,0.04383772540675386,-0.06727828746177367,0.04649864527817381
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,Active_subscribers,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.12475027625190983,0.008951707173661404,0.043365665777075665,0.07033639143730888,0.03131708179735347
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,CRM_PID_Value_Segment,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.1250769407321628,0.01103831663198732,0.0430390012968227,0.06116207951070335,0.03286786065555021
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,CRM_PID_Value_Segment_frequency,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.12517524131305524,0.0028226503407859788,0.04294070071593026,-0.07645259938837923,0.0462952620743704
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,EffectiveSegment_frequency,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.1267674353636011,0.009088587368236934,0.041348506665384394,0.06116207951070335,0.031073550810153464
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,AvgMobileRevenue_log,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.1301974732726112,0.009771046104519326,0.03791846875637431,-0.009174311926605505,0.03760774872058342
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,revenue_per_active_subscriber,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.13105050619793107,0.004852568206601849,0.03706543583105443,-0.015290519877675823,0.03745429038207089
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,Not_Active_subscribers_missing,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.13133378435102575,0.008509934513468367,0.036782157677959754,0.05504587155963306,0.027544116983113723
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,TotalRevenue,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.13261176414826742,0.006685239637598882,0.03550417788071808,-0.06422018348623854,0.03991769865898542
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,TotalRevenue_log,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.13619355203372527,0.009227339359666221,0.03192238999526023,-0.009174311926605505,0.03238479481760782
native_catboost,with_billing_zip,CatBoost_native_categorical,native_categorical,0.35,arpu_risk_interaction,0.13102951763858892,0.8348623853211009,0.07109375,0.12564182717355585,0.0022063160945541426,0.005387690465033068,0.04587155963302747,0.0028381754898200162
native_catboost,with_billing_zip,CatBoost_native_categorical,native_categorical,0.35,revenue_engagement_interaction,0.13102951763858892,0.8348623853211009,0.07109375,0.12591588821383767,0.0015426631173978413,0.005113629424751243,0.07645259938837934,0.002436287065017584
native_catboost,with_billing_zip,CatBoost_native_categorical,native_categorical,0.35,inactive_revenue_interaction,0.13102951763858892,0.8348623853211009,0.07109375,0.12689522213520366,0.003660518692314389,0.00413429550338526,0.06727828746177367,0.0019287979356432255
native_catboost,with_billing_zip,CatBoost_native_categorical,native_categorical,0.35,ARPU_sqrt,0.13102951763858892,0.8348623853211009,0.07109375,0.12814488619469258,0.0009268360850407572,0.002884631443896335,0.024464831804281273,0.0015206268948459722
native_catboost,with_billing_zip,CatBoost_native_categorical,native_categorical,0.35,TotalRevenue_sqrt,0.13102951763858892,0.8348623853211009,0.07109375,0.12822152652665553,0.002808946869972181,0.002807991111933389,0.0183486238532109,0.001520139026794709
native_catboost,with_billing_zip,CatBoost_native_categorical,native_categorical,0.35,AvgMobileRevenue,0.13102951763858892,0.8348623853211009,0.07109375,0.12881192958595,0.0007941702429322191,0.0022175880526389136,0.015290519877675712,0.001194632602598722
native_catboost,with_billing_zip,CatBoost_native_categorical,native_categorical,0.35,revenue_per_subscriber,0.13102951763858892,0.8348623853211009,0.07109375,0.12883113507903898,0.0015201848168111083,0.002198382559549933,0.024464831804281273,0.0011157803787846532
native_catboost,with_billing_zip,CatBoost_native_categorical,native_categorical,0.35,AvgMobileRevenue_sqrt,0.13102951763858892,0.8348623853211009,0.07109375,0.12937285405202406,0.0002665343808944388,0.001656663586564855,0.00917431192660545,0.0009088397992286223
native_catboost,with_billing_zip,CatBoost_native_categorical,native_categorical,0.35,ARPU_log,0.13102951763858892,0.8348623853211009,0.07109375,0.12963786403485486,0.0002105030272713746,0.0013916536037340554,0.012232415902140636,0.0007304736295047909
native_catboost,with_billing_zip,CatBoost_native_categorical,native_categorical,0.35,mobile_revenue_per_subscriber,0.13102951763858892,0.8348623853211009,0.07109375,0.12966731845497093,0.0008615013296924696,0.0013621991836179903,0.03363914373088672,0.0005518448775979207
native_catboost,with_billing_zip,CatBoost_native_categorical,native_categorical,0.35,revenue_per_active_subscriber,0.13102951763858892,0.8348623853211009,0.07109375,0.12968142366392454,0.0009312083023195562,0.0013480939746643716,0.00917431192660556,0.0007271592685665768
native_catboost,with_billing_zip,CatBoost_native_categorical,native_categorical,0.35,EffectiveSegment,0.13102951763858892,0.8348623853211009,0.07109375,0.12968825853793223,0.003166758396818323,0.0013412591006566887,0.03669724770642202,0.0005157435609326744
native_catboost,with_billing_zip,CatBoost_native_categorical,native_categorical,0.35,CRM_PID_Value_Segment,0.13102951763858892,0.8348623853211009,0.07109375,0.1298013994157383,0.001596362504626902,0.001228118222850627,0.05810397553516822,0.0002756675863025415
native_catboost,with_billing_zip,CatBoost_native_categorical,native_categorical,0.35,Not_Active_subscribers,0.13102951763858892,0.8348623853211009,0.07109375,0.13007863143969864,0.0008326514875789811,0.0009508861988902773,0.012232415902140636,0.00047075519314007663
native_catboost,with_billing_zip,CatBoost_native_categorical,native_categorical,0.35,suspended_revenue_interaction,0.13102951763858892,0.8348623853211009,0.07109375,0.13060543074871622,0.001606237665045412,0.0004240868898726935,0.006116207951070374,0.0002052083483859296
recall_heavy,with_billing_zip,CatBoost_original_balanced,original,0.34,Billing_ZIP,0.13171839515518546,0.7981651376146789,0.07178217821782178,0.12403541102893079,0.0036844941090484083,0.007682984126254677,0.05504587155963292,0.004116690130796213
recall_heavy,with_billing_zip,CatBoost_original_balanced,original,0.34,revenue_per_active_subscriber,0.13171839515518546,0.7981651376146789,0.07178217821782178,0.12725576798014648,0.002930307455778582,0.00446262717503898,0.051987767584097844,0.0022227721878068513
