operating_point,variant,model,train_data,threshold,feature,baseline_f1,baseline_recall,baseline_precision,permuted_f1_mean,permuted_f1_std,f1_importance,recall_importance,precision_importance
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,AvgMobileRevenue_sqrt,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.09106168458596305,0.004113496631160905,0.07705425744302245,0.006116207951070374,0.06768137149524253
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,TotalRevenue_sqrt,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.10227600698092011,0.006574789609190338,0.06583993504806539,-0.01834862385321101,0.06053191435106945
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,revenue_engagement_interaction,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.11275080434036151,0.005098731075398656,0.055365137688623986,-0.009174311926605505,0.05197492506882019
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,revenue_per_subscriber,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.1183192670889075,0.00604230350622428,0.049796674940078,0.0,0.04678709964625695
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,AvgMobileRevenue,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.1226494746409126,0.007583004687766113,0.045466467388072904,-0.02446483180428133,0.045143285623806415
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,ARPU_sqrt,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.12427821662223164,0.012715284932518407,0.04383772540675386,-0.06727828746177367,0.04649864527817381
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,Active_subscribers,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.12475027625190983,0.008951707173661404,0.043365665777075665,0.07033639143730888,0.03131708179735347
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,CRM_PID_Value_Segment,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.1250769407321628,0.01103831663198732,0.0430390012968227,0.06116207951070335,0.03286786065555021
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,CRM_PID_Value_Segment_frequency,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.12517524131305524,0.0028226503407859788,0.04294070071593026,-0.07645259938837923,0.0462952620743704
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,EffectiveSegment_frequency,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.1267674353636011,0.009088587368236934,0.041348506665384394,0.06116207951070335,0.031073550810153464
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,AvgMobileRevenue_log,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.1301974732726112,0.009771046104519326,0.03791846875637431,-0.009174311926605505,0.03760774872058342
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,revenue_per_active_subscriber,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.13105050619793107,0.004852568206601849,0.03706543583105443,-0.015290519877675823,0.03745429038207089
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,Not_Active_subscribers_missing,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.13133378435102575,0.008509934513468367,0.036782157677959754,0.05504587155963306,0.027544116983113723
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,TotalRevenue,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.13261176414826742,0.006685239637598882,0.03550417788071808,-0.06422018348623854,0.03991769865898542
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,TotalRevenue_log,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.13619355203372527,0.009227339359666221,0.03192238999526023,-0.009174311926605505,0.03238479481760782
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,has_inactive,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.1362028096062644,0.006556165903440344,0.03191313242272109,0.048929663608562685,0.023650793496376346
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,has_dormant,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.136938355970743,0.008115952304109504,0.0311775860582425,-0.04281345565749234,0.03491003625942886
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,mobile_revenue_per_subscriber,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.14469285999547374,0.0026884701056554207,0.02342308203351176,0.018348623853211038,0.020667163874261332
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,inactive_rate,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.14523834820316947,0.004608120002924774,0.02287759382581603,0.03363914373088686,0.0172467579195566
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,Suspended_subscribers,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.14648882808937527,0.0035240889959160804,0.021627113939610226,0.030581039755351702,0.016551893832415177
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,inactive_revenue_interaction,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.1468404909088271,0.006811258731458485,0.021275451120158412,0.0,0.02145399292848571
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,suspended_rate,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.14771246498265997,0.004340282335779978,0.02040347704632553,0.02140672782874617,0.01708482961915493
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,ARPU_log,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.14856732673801698,0.010106493026665575,0.01954861529096852,0.027522935779816515,0.014985843024440601
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,Suspended_subscribers_missing,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.15044318925808411,0.004971448232448393,0.017672752770901384,0.027522935779816515,0.01301054550228066
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,has_suspended,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.1544337470935388,0.005071112169017408,0.013682194935446701,0.02140672782874617,0.010047144192392762
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,arpu_risk_interaction,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.15564655906644845,0.002782701801445777,0.012469382962537051,0.02140672782874617,0.008749639149321295
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,ARPU,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.15876398035142583,0.007546054146132358,0.009351961677559667,0.006116207951070318,0.00859312345253782
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,Not_Active_subscribers,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.1588789217655197,0.004291807124620453,0.00923702026346579,-0.015290519877675823,0.012185807648997335
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,dormant_subscribers,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.1590803777671257,0.004573166594428229,0.009035564261859808,-0.012232415902140692,0.011507907773076032
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,large_account,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.1615865671142835,0.005340523451306296,0.006529374914701985,0.0,0.006851142659381623
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,EffectiveSegment,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.16172248803827752,0.006914104506576512,0.006393453990707981,-0.01834862385321101,0.009894030406774224
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,resampled,0.5,Total_SUBs,0.1681159420289855,0.26605504587155965,0.1228813559322034,0.16196899986599364,0.002779532619127888,0.006146942162991859,-0.006116207951070374,0.007592644000653695
