operating_point,variant,model,confusion_group,count,score_mean,score_median,Active_subscribers_mean,Not_Active_subscribers_mean,Suspended_subscribers_mean,Total_SUBs_mean,AvgMobileRevenue_mean,AvgFIXRevenue_mean,TotalRevenue_mean,ARPU_mean,active_rate_mean,inactive_rate_mean,suspended_rate_mean,dormant_rate_mean,revenue_per_subscriber_mean,revenue_per_active_subscriber_mean,risk_score_mean,large_account_mean
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,FN,80,0.3028558074352542,0.3209034328478227,7.5,3.95,0.0125,11.4625,135.097875,1.175,136.272875,25.01025,0.8145508982936736,0.18336576837299307,0.0020833333333333324,0.1854491017063264,16.759702044289206,25.555096384857166,0.1854491017063264,0.3625
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,FP,207,0.5924999087004128,0.565323448908419,16.420289855072465,1.7971014492753623,0.20772946859903382,18.42512077294686,276.11357487922703,0.8397584541062801,276.9533333333333,24.87966183574879,0.8406204819550336,0.1479061323182546,0.011473385726711733,0.15937951804496633,17.861890294403505,25.41651128563209,0.15937951804496633,0.748792270531401
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,TN,1372,0.30136459594053844,0.30549582979037754,6.532798833819242,1.80466472303207,0.043731778425655975,8.381195335276969,129.5943950437318,0.9873688046647231,130.5817638483965,24.49616618075802,0.8453920319069714,0.14959836548483765,0.005009602608190915,0.1546079680930286,20.066748930774875,24.69788495948751,0.1546079680930286,0.27405247813411077
main_f1_baseline,without_billing_zip,LogisticRegression_SMOTE,TP,29,0.5812855993570369,0.5639618501598074,13.793103448275861,2.4827586206896552,0.3793103448275862,16.655172413793103,248.6313793103448,0.0,248.6313793103448,29.240344827586206,0.7440356628946891,0.23752789356237633,0.018436443542934413,0.25596433710531075,16.924889087396597,29.239721612819213,0.25596433710531075,0.7586206896551724
native_catboost,with_billing_zip,CatBoost_native_categorical,FN,18,0.20325557226299362,0.21621711020640333,5.5,12.833333333333334,0.1111111111111111,18.444444444444443,157.72222222222223,5.222222222222222,162.94444444444446,41.71000000000001,0.5833642991731227,0.40367273786391433,0.012962962962962956,0.4166357008268773,15.374802304230002,44.13312500000001,0.4166357008268773,0.4444444444444444
native_catboost,with_billing_zip,CatBoost_native_categorical,FP,1189,0.4928955174422883,0.4930665065128717,8.648444070647603,1.4760302775441547,0.04289318755256518,10.167367535744322,163.509503784693,0.09671993271656855,163.6062237174096,23.62268292682927,0.8606423815408475,0.13654657635421766,0.002811042104934858,0.13935761845915254,19.364033821170622,23.630166897553476,0.13935761845915254,0.3776282590412111
native_catboost,with_billing_zip,CatBoost_native_categorical,TN,390,0.25092847978735006,0.26786038277047564,5.3307692307692305,2.8025641025641024,0.13333333333333333,8.266666666666667,103.96466666666667,3.6243589743589744,107.58902564102564,27.362717948717947,0.7963654253563823,0.18849140397413128,0.015143170669486459,0.2036345746436177,21.03885797587893,28.334480921414414,0.2036345746436177,0.21025641025641026
native_catboost,with_billing_zip,CatBoost_native_categorical,TP,91,0.5027105017810346,0.5017572592438665,9.901098901098901,1.7252747252747254,0.10989010989010989,11.736263736263735,166.80373626373628,0.0,166.80373626373628,23.05505494505494,0.8378082274980623,0.1570490230944824,0.005142749407455289,0.1621917725019377,17.086280281335142,23.05454272044319,0.1621917725019377,0.4725274725274725
recall_heavy,with_billing_zip,CatBoost_original_balanced,FN,22,0.21926434043224619,0.2287462437281126,8.5,11.363636363636363,0.36363636363636365,20.227272727272727,159.5381818181818,4.2727272727272725,163.8109090909091,33.74681818181819,0.6251761913397593,0.35942273914152406,0.01540106951871658,0.3748238086602406,12.731725462408065,35.729036587740225,0.3748238086602406,0.5909090909090909
recall_heavy,with_billing_zip,CatBoost_original_balanced,FP,1125,0.4807167527572367,0.47510577630021456,8.501333333333333,1.4826666666666666,0.041777777777777775,10.025777777777778,165.75862222222224,0.05659555555555556,165.81521777777778,24.195057777777777,0.8638029426180096,0.1330583580111139,0.0031386993708765734,0.13619705738199045,19.75978931684739,24.197417446459422,0.13619705738199045,0.376
recall_heavy,with_billing_zip,CatBoost_original_balanced,TN,454,0.2409641239801635,0.26112867635423864,6.1629955947136565,2.5991189427312777,0.12334801762114538,8.885462555066079,106.78539647577094,3.226497797356828,110.01189427312775,25.417158590308368,0.7975947072594626,0.18981249795720895,0.012592794783328457,0.20240529274053737,19.822087758835547,26.265685844219938,0.20240529274053737,0.23788546255506607
recall_heavy,with_billing_zip,CatBoost_original_balanced,TP,87,0.500049646292629,0.4944118538422613,9.344827586206897,1.5862068965517242,0.04597701149425287,10.977011494252874,166.76206896551724,0.0,166.76206896551724,24.211034482758624,0.8389336767582204,0.15689965657511293,0.004166666666666665,0.16106632324177958,17.833333182812186,24.21058428310398,0.16106632324177958,0.4367816091954023
tuned_best_f1,with_billing_zip,BalancedBagging_original,FN,45,0.39022062969709215,0.3838763462578329,5.311111111111111,3.8,0.17777777777777778,9.28888888888889,99.37355555555554,1.2,100.57355555555554,22.377333333333333,0.739263501596835,0.2530327946994613,0.007703703703703703,0.26073649840316504,14.949906909723579,22.457266483516484,0.26073649840316504,0.24444444444444444
