source,variant,model,threshold,f1,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,mcc
논문 기준 best,external_paper,EasyEnsembleClassifier + SVMSMOTE,not_reported,0.129,0.382,0.077,0.664,0.533,0.551,0.079,0.034
우리 단일 목적 F1 best,without_billing_zip,LogisticRegression_SMOTE,0.5,0.1681159420289855,0.2660550458715596,0.1228813559322034,0.8299763033175356,0.5674797078629489,0.5745943025140753,0.0878745553765331,0.0956463042644645
우리 Recall 캠페인형 best,with_billing_zip,BalancedBagging_original,0.5,0.1525625744934445,0.5871559633027523,0.0876712328767123,0.5787914691943128,0.5826850114170506,0.5726159280929168,0.0870947318001563,0.0820383497592331
우리 soft ensemble best,with_billing_zip,soft_avg_lr_bagging_catboost_native,0.47,0.1480406386066763,0.4678899082568807,0.0879310344827586,0.6522511848341233,0.5664338711645391,0.5763025024548111,0.0860954481522698,0.0687606530295491
