variant,model,train_data,members,selected_threshold,threshold,f1,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,mcc,tp,fp,fn,tn
with_billing_zip,soft_avg_lr_bagging_catboost_native,soft_average,LogisticRegression_SMOTE+BalancedBagging_original+CatBoost_original_balanced+CatBoost_native_categorical,0.47,0.47,0.14804063860667635,0.46788990825688076,0.08793103448275862,0.6522511848341233,0.5664338711645391,0.5763025024548111,0.0860954481522698,0.06876065302954916,51,529,58,1050
with_billing_zip,soft_avg_lr_balancedbagging_catboost,soft_average,LogisticRegression_SMOTE+BalancedBagging_original+CatBoost_original_balanced,0.49,0.49,0.14339622641509434,0.3486238532110092,0.09026128266033254,0.731042654028436,0.5530326359151942,0.5798815880449245,0.08876360995840166,0.060248767626385515,38,383,71,1196
with_billing_zip,soft_avg_lr_balancedbagging,soft_average,LogisticRegression_SMOTE+BalancedBagging_original,0.5,0.5,0.13793103448275862,0.29357798165137616,0.09014084507042254,0.7630331753554502,0.5445090668231548,0.57724375548338,0.08317832945171225,0.05368507292265787,32,323,77,1256
without_billing_zip,soft_avg_lr_bagging_catboost_native,soft_average,LogisticRegression_SMOTE+BalancedBagging_original+CatBoost_original_balanced+CatBoost_native_categorical,0.45,0.45,0.1376037959667853,0.5321100917431193,0.07901907356948229,0.5693127962085308,0.5519955145226045,0.5649319334615451,0.08712624308054547,0.05155585249378349,58,676,51,903
without_billing_zip,soft_avg_lr_balancedbagging,soft_average,LogisticRegression_SMOTE+BalancedBagging_original,0.49,0.49,0.13358778625954199,0.3211009174311927,0.08433734939759036,0.731042654028436,0.5402211363596748,0.5713638291567651,0.08581139411846882,0.04591455673346178,35,380,74,1199
without_billing_zip,soft_avg_lr_balancedbagging_catboost,soft_average,LogisticRegression_SMOTE+BalancedBagging_original+CatBoost_original_balanced,0.5,0.5,0.1285140562248996,0.29357798165137616,0.08226221079691516,0.7428909952606635,0.5337427590334145,0.5646646640830627,0.08619351896551904,0.03938542388903247,32,357,77,1222
