column_ko,column_description,group,rows,yes_count,no_count,yes_rate,no_rate,yes_rate_percent,no_rate_percent,min,max
평균 모바일 매출,평균 모바일 서비스 매출이다.,"(221.67, 499.83]",1687,151,1536,0.08950800237107291,0.9104919976289271,8.950800237107291,91.04919976289271,221.83,499.83
평균 모바일 매출,평균 모바일 서비스 매출이다.,"(138.17, 221.67]",1690,127,1563,0.07514792899408285,0.9248520710059172,7.514792899408285,92.48520710059171,138.33,221.67
평균 모바일 매출,평균 모바일 서비스 매출이다.,"(94.5, 138.17]",1693,120,1573,0.07088009450679268,0.9291199054932073,7.088009450679269,92.91199054932073,94.6,138.17
평균 모바일 매출,평균 모바일 서비스 매출이다.,"(64.67, 94.5]",1686,83,1603,0.04922894424673784,0.9507710557532622,4.9228944246737845,95.07710557532621,64.83,94.5
평균 모바일 매출,평균 모바일 서비스 매출이다.,"(-0.001, 64.67]",1697,68,1629,0.040070713022981735,0.9599292869770183,4.007071302298174,95.99292869770183,0.0,64.67
