CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,churn_binary
Gold,LE,6000,8,2.0,,10,291.83,0.0,291.83,36.48,No,0
Iron,LE,6000,1,2.0,,3,40.5,0.0,40.5,40.5,No,0
